block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
268015389,2024-10-27 00:00:02,MINT,0x0f97db034a36cb96bdd0158eb1b380f6cb80c95f06bd36f484f0f7f1d37b0ff9,16,85,86.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,35599363325011,11356,,0,,,3584237.0,-198250.0,-197440.0,50212878966
268015390,2024-10-27 00:00:03,BURN,0x03e180061e442ab35a6ca654bf57f9dc6152adc76ce3e13a63da24c00ec62061,2,2,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,,0,,,,-198040.0,-196840.0,0
268015390,2024-10-27 00:00:03,COLLECT,0x03e180061e442ab35a6ca654bf57f9dc6152adc76ce3e13a63da24c00ec62061,2,3,4.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9fbbb8752e8ddf6cfc4a7b57912b08fc6c3d1b96,0,0,,0,,,3764495.0,-198040.0,-196840.0,
268015390,2024-10-27 00:00:03,BURN,0x03e180061e442ab35a6ca654bf57f9dc6152adc76ce3e13a63da24c00ec62061,2,5,6.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,705074049652838790284,0,,0,,,3764495.0,-198040.0,-196840.0,606595642967263372
268015390,2024-10-27 00:00:03,COLLECT,0x03e180061e442ab35a6ca654bf57f9dc6152adc76ce3e13a63da24c00ec62061,2,8,9.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9fbbb8752e8ddf6cfc4a7b57912b08fc6c3d1b96,705074049652838790284,0,,0,,,3764495.0,-198040.0,-196840.0,
268015390,2024-10-27 00:00:03,MINT,0x03e180061e442ab35a6ca654bf57f9dc6152adc76ce3e13a63da24c00ec62061,2,17,19.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,705074049652838789931,0,,0,,,3764564.0,-198050.0,-196850.0,606292436113899583
268015430,2024-10-27 00:00:13,BURN,0x9bd8e486f2744a58f84807f0599ab5394d61b992b145cac77943c7a2dc8cb003,2,2,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,,0,,,,-198040.0,-196840.0,0
268015430,2024-10-27 00:00:13,COLLECT,0x9bd8e486f2744a58f84807f0599ab5394d61b992b145cac77943c7a2dc8cb003,2,3,4.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6db48d2b127b857ddc3e3016a9507b3f91613a9b,0,0,,0,,,3764499.0,-198040.0,-196840.0,
268015430,2024-10-27 00:00:13,BURN,0x9bd8e486f2744a58f84807f0599ab5394d61b992b145cac77943c7a2dc8cb003,2,5,6.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,172690687796077706244,0,,0,,,3764499.0,-198040.0,-196840.0,148570804512942603
268015430,2024-10-27 00:00:13,COLLECT,0x9bd8e486f2744a58f84807f0599ab5394d61b992b145cac77943c7a2dc8cb003,2,8,9.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6db48d2b127b857ddc3e3016a9507b3f91613a9b,172690687796077706244,0,,0,,,3764499.0,-198040.0,-196840.0,
268015430,2024-10-27 00:00:13,MINT,0x9bd8e486f2744a58f84807f0599ab5394d61b992b145cac77943c7a2dc8cb003,2,17,19.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,172690687796077705907,0,,0,,,3764565.0,-198050.0,-196850.0,148496541391107870
268015448,2024-10-27 00:00:18,BURN,0x2dc890059119400f83c33466e614078d9f60988c127d6d3f01387adb3844d1ef,2,1,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,,0,,,,-198300.0,-198190.0,0
268015448,2024-10-27 00:00:18,COLLECT,0x2dc890059119400f83c33466e614078d9f60988c127d6d3f01387adb3844d1ef,2,4,5.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,3544319605461014,8712844,,0,,,3763228.0,-198300.0,-198190.0,
268015470,2024-10-27 00:00:23,BURN,0x9725afe764fed9331eb3920154944f3a560463ed4bb2ef5fee0b4077db3bde8d,2,3,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,,0,,,,-198040.0,-196840.0,0
268015470,2024-10-27 00:00:23,COLLECT,0x9725afe764fed9331eb3920154944f3a560463ed4bb2ef5fee0b4077db3bde8d,2,4,5.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x30b95f08bda14492b9020327d6dcd1918dd90350,0,0,,0,,,3764500.0,-198040.0,-196840.0,
268015470,2024-10-27 00:00:23,BURN,0x9725afe764fed9331eb3920154944f3a560463ed4bb2ef5fee0b4077db3bde8d,2,6,7.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,139566894859578549768,0,,0,,,3764500.0,-198040.0,-196840.0,120073445287023878
268015470,2024-10-27 00:00:23,COLLECT,0x9725afe764fed9331eb3920154944f3a560463ed4bb2ef5fee0b4077db3bde8d,2,9,10.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x30b95f08bda14492b9020327d6dcd1918dd90350,139566894859578549768,0,,0,,,3764500.0,-198040.0,-196840.0,
268015470,2024-10-27 00:00:23,MINT,0x9725afe764fed9331eb3920154944f3a560463ed4bb2ef5fee0b4077db3bde8d,2,18,20.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,139566894859578549894,0,,0,,,3764566.0,-198050.0,-196850.0,120013426571195429
268015554,2024-10-27 00:00:45,BURN,0xac45309393ce785425105676ddcb01105e2fb42a92a0af47270a7a5e5f64e357,4,54,55.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,3479999999,,0,,,3763228.0,-198300.0,-198190.0,12760214405708009
268015554,2024-10-27 00:00:45,COLLECT,0xac45309393ce785425105676ddcb01105e2fb42a92a0af47270a7a5e5f64e357,4,57,58.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0,3479999999,,0,,,3763228.0,-198300.0,-198190.0,
268015626,2024-10-27 00:01:03,BURN,0x3088550b8b102a84c293ba88c9671fa0b6887dd5f6e1d5c9f9f647183b404315,7,17,,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,0,,0,,,,-198370.0,-198200.0,0
